Star1_ID,Star2_ID,AngularSeparation_rad
23015,79882,0.164576
71352,64962,0.164657
25606,50372,0.165002
25930,84379,0.165403
113726,42828,0.165420
50335,28103,0.165520
80763,61941,0.165549
72622,24305,0.165553
54872,21281,0.165680
23685,8102,0.165861
92855,17847,0.165882
72105,86414,0.165970
34444,50335,0.166038
59803,54872,0.166136
102098,14354,0.166716
3092,22549,0.166913
74785,35550,0.167183
61941,92041,0.167193
63125,80816,0.167224
14576,83000,0.167452
21281,55219,0.167501
2081,67472,0.167544
74395,37229,0.168030
746,85792,0.168064
84379,46651,0.168284
25428,41037,0.168464
65474,89931,0.168608
91262,62322,0.168626
86032,43109,0.168705
23416,35550,0.168848
36188,85727,0.168966
75141,84379,0.169081
46853,50371,0.169150
26451,116727,0.169510
73714,12706,0.169516
106032,82729,0.169522
67472,55219,0.169556
30122,106032,0.169833
2081,93747,0.169857
86032,12706,0.170034
24608,86228,0.170039
46853,72220,0.170146
62322,67464,0.170310
2021,10602,0.170396
54872,76600,0.170571
8102,15900,0.170686
81377,88635,0.170909
102098,92420,0.171018
61932,36188,0.171121
45941,93805,0.171433
46853,79882,0.171628
50099,112623,0.171672
71860,77070,0.171821
25985,23875,0.171880
87073,26551,0.171892
108085,40526,0.171976
33579,100453,0.172012
67472,75177,0.172129
87073,26549,0.172208
80331,50335,0.172293
65474,76267,0.172468
26727,17702,0.172590
93194,14354,0.172668
5447,112158,0.172769
59316,57363,0.173477
104732,69996,0.173773
46853,68245,0.173774
81266,102618,0.173882
45556,23767,0.173936
91262,71681,0.174056
24305,33018,0.174228
113368,64962,0.174248
71908,49583,0.174262
77952,87073,0.174419
9640,77622,0.174544
9884,94376,0.174592
2081,106032,0.174684
89931,46853,0.174712
54061,10602,0.174712
59803,36188,0.174919
88635,32607,0.174921
85670,93194,0.175072
65378,42828,0.175279
28360,36188,0.175361
42913,54872,0.175364
91262,71683,0.175746
89931,93805,0.176037
72220,68245,0.176088
65378,86742,0.176095
60965,75458,0.176419
7607,77622,0.176488
102488,84143,0.176704
30438,93085,0.176757
63608,50335,0.177018
93506,46853,0.177311
9236,46853,0.177683
30324,13209,0.177716
9884,86742,0.178036
59316,6867,0.178070
106032,21281,0.178400
61932,48774,0.178576
8796,86929,0.178672
93805,76600,0.178794
73714,112724,0.178819
30122,67472,0.178909
18246,52943,0.178937
54061,72607,0.179004
9640,112029,0.179047
22449,87261,0.179384
14576,23416,0.179499
10064,47508,0.179502
106032,93194,0.179610
77516,40526,0.179692
86228,71795,0.179729
87833,57757,0.180114
65474,3821,0.180191
84345,72220,0.180327
46853,93805,0.180502
37279,112158,0.180581
64962,13209,0.180650
93805,82729,0.180692
42913,73334,0.180960
84345,46853,0.180983
13847,47508,0.181196
65474,79882,0.181241
104732,71053,0.181315
113368,109492,0.181338
68933,93747,0.181430
45238,26551,0.181602
14328,95501,0.181630
108085,59774,0.181746
94376,7607,0.181910
73334,106032,0.182243
33977,74666,0.182392
50099,25281,0.182678
22449,8886,0.182932
58001,105199,0.182963
65474,45941,0.183430
39429,75264,0.183709
32768,33856,0.184425
45238,26549,0.184575
75141,20894,0.184615
25930,20894,0.184704
39953,83000,0.184716
68756,57757,0.184758
26311,42828,0.184914
86670,80331,0.184960
76267,57757,0.184974
38170,15900,0.184987
93194,48774,0.185102
112029,7607,0.185136
42913,106032,0.185237
93747,75177,0.185298
85927,24305,0.185453
102098,54872,0.185483
81377,48774,0.185512
